WT-SpCas9,TAC,0.852326196,,eSpCas9(1.1),TAC,0.85003846,,SpCas9-HF1,TAC,0.85
WT-SpCas9,TAC,0.858066469,,eSpCas9(1.1),TAC,0.835830345,,SpCas9-HF1,TAC,0.85
WT-SpCas9,TAC,0.858291228,,eSpCas9(1.1),TAC,0.849881848,,SpCas9-HF1,TAC,0.85
WT-SpCas9,TAC,0.858819891,,eSpCas9(1.1),TAC,0.846903218,,SpCas9-HF1,TAC,0.85
WT-SpCas9,TAC,0.860922165,,eSpCas9(1.1),TAC,0.834286357,,SpCas9-HF1,TAC,0.85
WT-SpCas9,TAC,0.854018247,,eSpCas9(1.1),TAC,0.841225959,,SpCas9-HF1,TAC,0.85
WT-SpCas9,SpAC,0.859398844,,eSpCas9(1.1),SpAC,0.853391202,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.864131424,,eSpCas9(1.1),SpAC,0.85338715,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.863646166,,eSpCas9(1.1),SpAC,0.858816482,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.86052259,,eSpCas9(1.1),SpAC,0.852620027,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.856640966,,eSpCas9(1.1),SpAC,0.859532634,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.859894742,,eSpCas9(1.1),SpAC,0.851008841,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.865629687,,eSpCas9(1.1),SpAC,0.861432234,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.865757415,,eSpCas9(1.1),SpAC,0.855817275,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.864511134,,eSpCas9(1.1),SpAC,0.847240067,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,SpAC,0.86247401,,eSpCas9(1.1),SpAC,0.85039716,,SpCas9-HF1,SpAC,0.85
WT-SpCas9,EnAC,0.864598887,,eSpCas9(1.1),EnAC,0.858143174,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.867363825,,eSpCas9(1.1),EnAC,0.857548646,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.869353376,,eSpCas9(1.1),EnAC,0.86438252,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.868141976,,eSpCas9(1.1),EnAC,0.857067715,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.862544239,,eSpCas9(1.1),EnAC,0.864156386,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.867765225,,eSpCas9(1.1),EnAC,0.853945531,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.870095821,,eSpCas9(1.1),EnAC,0.865049009,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.870134368,,eSpCas9(1.1),EnAC,0.860911718,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.870677598,,eSpCas9(1.1),EnAC,0.851826638,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,EnAC,0.865672605,,eSpCas9(1.1),EnAC,0.854978475,,SpCas9-HF1,EnAC,0.85
WT-SpCas9,CRISPRpred(SEQ),0.838,,eSpCas9(1.1),CRISPRpred(SEQ),0.83,,SpCas9-HF1,CRISPRpred(SEQ),0.821
WT-SpCas9,DeepHF,0.865497188,,eSpCas9(1.1),DeepHF,0.862479519,,SpCas9-HF1,DeepHF,0.859833776
WT-SpCas9,DeepHF,0.869279705,,eSpCas9(1.1),DeepHF,0.860756878,,SpCas9-HF1,DeepHF,0.862863122
WT-SpCas9,DeepHF,0.86659335,,eSpCas9(1.1),DeepHF,0.866738505,,SpCas9-HF1,DeepHF,0.864196628
WT-SpCas9,DeepHF,0.86513026,,eSpCas9(1.1),DeepHF,0.856198192,,SpCas9-HF1,DeepHF,0.856415867
WT-SpCas9,DeepHF,0.863885431,,eSpCas9(1.1),DeepHF,0.86888927,,SpCas9-HF1,DeepHF,0.860297491
WT-SpCas9,DeepHF,0.863650071,,eSpCas9(1.1),DeepHF,0.86150327,,SpCas9-HF1,DeepHF,0.859252259
WT-SpCas9,DeepHF,0.868212005,,eSpCas9(1.1),DeepHF,0.867369904,,SpCas9-HF1,DeepHF,0.856396409
WT-SpCas9,DeepHF,0.868797526,,eSpCas9(1.1),DeepHF,0.863008135,,SpCas9-HF1,DeepHF,0.856559088
WT-SpCas9,DeepHF,0.867997032,,eSpCas9(1.1),DeepHF,0.856875118,,SpCas9-HF1,DeepHF,0.865031184
WT-SpCas9,DeepHF,0.870600945,,eSpCas9(1.1),DeepHF,0.860482579,,SpCas9-HF1,DeepHF,0.862008493
